#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Capcom Fighting Evolution (USA);캡콤 파이팅 에볼루션;PS2;Capcom Fighting Evolution (USA);2004;Capcom;Fighting;2;;;;;;;;영어;;;;;
#Culdcept 2 (K);컬드셉트 세컨드;PS2;Culdcept (USA);2004;Badai;Board;2;;;;;;;;한국어;;;;;
Come On Baby (K);컴온 베이비;PS2;0;2005;Expotato;Puzzle;2;;;;;;;;한국어;;;;;
Kunoichi (K);쿠노이치;PS2;Nightshade (USA);2003;SEGA;Action;1;;;;;;;;한국어;;;;;
Clock Tower 3 (K);클락 타워 3;PS2;Clock Tower 3 (USA);2002;Capcom;Horror Adventure;1;;;;;;;;한국어;;;;;
KOF - Maximum Impact Regulation A (Japan);킹 오브 파이터 - 맥시멈 임팩트 레귤레이션 A;PS2;KOF Maximum Impact 2;2007;SNK Playmore;Fighting;2;;;;;;;;영어;;;;;
#King of Fighters Collection, The - The Orochi Saga (J);킹 오브 파이터 콜렉션 - 오로치 사가;PS2;King of Fighters Collection, The - The Orochi Saga (USA);2008;SNK;Fighting;2;;;;;;;;일본어;;;;;
Jake Hunter - Innocent Black (K);탐정 진구지 사부로 - 이노센트 블랙;PS2;0;2002;WorkJam;Adventure;1;;;;;;;;한국어;;;;;
Tantei Jinguji Saburo - Kind of Blue (K);탐정 진구지 사부로 - 카인드 오브 블루;PS2;0;2004;WorkJam;Adventure;1;;;;;;;;한국어;;;;;
#Tales of Destiny 2;테일즈 오브 데스티니 2;PS2;0;2002;Namco;RPG;1;;;;;;;;한국어;;;;;
Final Fight - Streetwise;파이널 파이트 - 스트리트와이즈;PS2 (ISO);0;2006;Capcom;Action;;;;;;;;;영어;;;;;
Final Fantasy X International (K);파이널 판타지 X;PS2;Final Fantasy X (USA);2002;Square;RPG;1;;;;;;;;한국어;;;;;
Final Fantasy X-2 (K);파이널 판타지 X-2;PS2;Final Fantasy X-2 (USA);2004;Square;RPG;1;;;;;;;;한국어;;;;;
Prince of Persia The Sands of Time (K);페르시아의 왕자 2;PS2;Prince of Persia - The Sands of Time (USA);2003;Ubisoft;Action;1;;;;;;;;한국어;;;;;
#Fate-Unlimited Codes (Japan);페이트 언리미티드 코드 (일본판);PS2;;2008;Eighting;Fighting;2;;;;;;;;일본어;;;;;
#Fuuun Shinsengumi Bakumatsu (K);풍운 막말전;PS2;0;2006;Genki;Action;1;;;;;;;;한국어;;;;;
#Fuuun Shinsengumi (K);풍운 신선조;PS2;0;2004;Genki;Action;1;;;;;;;;한국어;;;;;
#Princess Maker 1 (K);프린세스 메이커 1;PS2;0;2004;Gainax;SLG;1;;;;;;;;한국어;;;;;
#Princess Maker 2 (K);프린세스 메이커 2;PS2;0;2004;Gainax;SLG;1;;;;;;;;한국어;;;;;
#Princess Maker 4;프린세스 메이커 4;PS2;0;2005;Gainax;SLG;1;;;;;;;;한국어;;;;;
#Hajime no Ippo2 (K);하지메의 일보 2 ;PS2;Victorious Boxers 2 - Fighting Spirit (USA);2004;ESP;Sports;2;;;;;;;;한국어;;;;;
#Hitman 2 (K);히트맨 2 - 사일런트 어쌔신 ;PS2;Hitman 2 - Silent Assassin (USA);2002;IO Interactive;Action;1;;;;;;;;한국어;;;;;
