11beat	Eleven Beat	Hudson
cubo	Cubo BIOS	Commodore
cubybop	큐비 밥 (로케이션 테스트)	Hot-B Co., Ltd.
cuebrick	큐 브릭 (세계판 버전 D)	Konami
cuebrickj	큐 브릭 (일본판)	Konami
cupfinal	해트트릭 히어로 '93 - 타이토 컵 파이널 (세계판, 버전 1.0O 1993/02/28)	Taito Corporation Japan
cupsoc	세이부컵 축구 (세트 1)	Seibu Kaihatsu
cupsoca	세부컵 축구 (세트 2)	Seibu Kaihatsu
cupsocb	세부컵 축구 (세트 3)	Seibu Kaihatsu
cupsocs	세부컵 축구 :Selection: (세트 1)	Seibu Kaihatsu
cupsocs2	세부컵 축구 :Selection: (세트 2)	Seibu Kaihatsu
cutefght	큐트 파이터즈	SemiCom
cvs2	캡콤 VS SNK 2 Mark Of The Millennium 2001 (GDL-0008)	Capcom / SNK
cvs2mf	캡콤 VS SNK 2 Millionaire Fighting 2001 (개정판 A) (GDL-0007A)	Capcom / SNK
cvsgd	캡콤 VS SNK 밀레니엄 파이트 2000 Pro (나오미 GD롬 기판, GDL-0004)	Capcom / SNK
cwheel	캐서린 휠	Gamebar
cworld2j	어드벤쳐 퀴즈 캡콤 월드 2 (일본판 920611)	Capcom
cworld2ja	어드벤쳐 퀴즈 캡콤 월드 2 (일본판 920611, B-Board 90629B-3, no battery)	Capcom
cworld2jb	어드벤쳐 퀴즈 캡콤 월드 2 (일본판 920611, B-Board 91634B-2)	Capcom
cybattlr	사이배틀러	Jaleco
cyberlip	사이버 립 (NGM-010)	SNK
cybertnk	사이버 탱크 (v1.4)	Coreland
cybots	사이버보츠: 풀메탈 매드니스 (유럽판 950424)	Capcom
cybotsj	사이버보츠: 풀메탈 매드니스 (일본판 950420)	Capcom
cybotsjd	사이버보츠: 풀메탈 매드니스 (일본판 950424) (decrypted bootleg)	bootleg
cybotsjs01	사이버보츠: 풀메탈 매드니스 (파워 무한)(일본판 950420)	pipi899
cybotsu	사이버보츠: 풀메탈 매드니스 (미국판 950424)	Capcom
cybotsud	사이버보츠: 풀메탈 매드니스 (미국판 950424 Phoenix Edition) (bootleg)	bootleg
cybrcomm	사이버 코만도 (개정판. CY1, 일본판)	Namco
cybrcycc	사이버 사이클즈 (개정판 CB2 버전 C)	Namco
cybsled	사이버 슬레드 (CY2, 세계판)	Namco
cybsleda	사이버 슬레드 (CY1, 세계판)	Namco
cybstorm	사이버 스톰 (시험판)	Atari Games
cyclwarr	사이클 워리어스 (개정판 C)	Tatsumi
cyclwarra	사이클 워리어스 (rev B)	Tatsumi
cyclwarrb	사이클 워리어스	Tatsumi
cyvern	사이번 (미국판)	Kaneko
cyvernj	사이번 (일본판)	Kaneko
daimakai	대마계촌 (일본판)	Capcom
daimakair	대마계촌 (일본판, 재판매 버전)	Capcom
daioh	대왕 (세트 1)	Athena
daioha	대왕 (세트 2)	Athena
daiohc	대왕 (93111A PCB conversion)	Athena
daiohp	대왕 (prototype)	Athena
dairesya	대열차 강도 (일본판)	Konami (Kawakusu license)
daiskiss	다이스-키스 (ver JAA)	Konami
dangar	UFO 로보 데인져 (4/07/1987)	Nichibutsu
dangara	UFO 로보 데인져 (12/1/1986)	Nichibutsu
dangarb	UFO 로보 데인져 (9/26/1986, bootleg 세트 1)	Nichibutsu
dangarbt	UFO 로보 데인져 (9/26/1986, bootleg 세트 2)	bootleg
dangarj	UFO 로보 데인져 (9/26/1986, 일본판)	Nichibutsu
dangcurv	데인져러스 커브스 (버전 2.9 O)	Taito
dangcurvj	데인져러스 커브스 (Ver 2.2 J)	Taito
dangseed	데인져러스 시드 (일본판)	Namco
dankuga	단쿠가 (버전 0.0J 1994/12/13) (시험판)	Taito Corporation
daraku	타락천사	Psikyo
darakuhc01	타락 천사 (숨겨진 캐릭터 선택)	yumeji
darius	다리우스 (세계판, 개정판 2)	Taito Corporation Japan
darius2	다리우스 II (트리플 스크린) (일본판)	Taito Corporation
darius2d	다리우스 II (듀얼 스크린) (일본판, 개정판 2)	Taito Corporation
darius2do	다리우스 II (dual screen) (일본판, Rev 1)	Taito Corporation
dariuse	다리우스 엑스트라 버전 (일본판)	Taito Corporation
dariusg	다리우스 외전 - 실버 호크 (세계판, 버전 2.50 1994/09/19)	Taito Corporation Japan
dariusgj	다리우스 Gaiden - Silver Hawk (Ver 2.5J 1994/09/19)	Taito Corporation
dariusgu	다리우스 Gaiden - Silver Hawk (Ver 2.5A 1994/09/19)	Taito America Corporation
dariusgx	다리우스 외전 - 실버 호크 엑스트라 버전 (일본판, 버전 2.7J 1995/03/06) (공식 해킹판)	Taito Corporation
dariusj	다리우스 (일본판, 개정판 1)	Taito Corporation
dariuso	다리우스 (일본판)	Taito Corporation
dariusu	다리우스 (US, rev 2)	Taito America Corporation
darkedge	다크 엣지 (세계판)	Sega
darkedgej	다크 엣지 (일본판)	Sega
darkmist	다크 미스트	Seibu Kaihatsu (Taito license)
darkseal	다크 실 (세계 개정판 3)	Data East Corporation
darkseal1	다크 실 (세계판 개정판 1)	Data East Corporation
darkseal2	다크 실 2 (일본판 v2.1)	Data East Corporation
darksealj	다크 실 (일본판 개정판 4)	Data East Corporation
darktowr	다크 타워	The Game Room
dashhero	얘들아 힘내! 대쉬 히어로	Sigma
dayto2pe	데이토나 USA 2 Power Edition	Sega
daytona	데이토나 USA (일본판, 개정판 A)	Sega
daytona2	데이토나 USA 2 (개정판 A)	Sega
daytona93	데이토나 USA (일본판)	Sega
daytonagtx	데이토나 USA (GTX 2004 Edition)	hack (Kyle Hodgetts)
daytonam	데이토나 USA (To The MAXX)	hack (Kyle Hodgetts)
daytonas	데이토나 USA (With Saturn Adverts)	Sega
daytonase	데이토나 USA Special Edition (일본판, 개정판 A)	Sega
daytonat	데이토나 USA (Turbo hack, 세트 1)	hack (Kyle Hodgetts)
daytonata	데이토나 USA (Turbo hack, 세트 2)	hack (Kyle Hodgetts)
dbdco	더블 드래곤 (Sould Daddy's darkness)	Technos
dbdeh	더블 드래곤 (Add Char - Max ultra kill after hit 2003-04-20)	Creamymami and Ydmis
dbdehy	더블 드래곤 (Add Char)	Ydmis
dbdq	더블 드래곤 (The character is the Q - 버전)	Creamymami
dbdqb	더블 드래곤 (The character is the Q - 버전 - can select Shuko and Duke)	Creamymami and Ydmis
dbdqeh	더블 드래곤 (The character is the Q - 버전 - after hitting ultra kill is max - can select Shuko and Duke)	Creamymami and Ydmis
dbdqp	더블 드래곤 (The character is the Q - 버전 - after hitting ultra kill is max)	Creamymami
dbdy	더블 드래곤 (Add Char - Always in AES mode)	Ydmis
dblaxle	더블 액슬 (미국판)	Taito America Corporation
dblaxleu	더블 액슬 (미국판)	Taito America Corporation
dblaxleul	더블 액슬 (US, Rev 1, Linkable)	Taito America Corporation
dbldynj	더블 다이나마이트 (일본판)	Seibu Kaihatsu
dbldynu	더블 다이나마이트 (US, 13NOV89)	Seibu Kaihatsu (Fabtek license)
dblewing	쌍날개 - 더블 윙즈	Mitchell
dblplay	슈퍼 베이스볼 더블 플레이 홈런 더비	Leland Corporation / Tradewest
dbreed	드래곤 브리드 (M81 기판 버전)	Irem
dbreedm72	드래곤 브리드 (M72 PCB version)	Irem
dby	더블 드래곤 (Can select Shuko and Duke - game is always in AES mode)	Technos
dbz	드래곤 볼 Z	Banpresto
dbz2	드래곤 볼 Z 2 - 슈퍼 배틀	Banpresto
dbz2h01	드래곤 볼 Z 2 - Super Battle (Infinite Lives)(2009-03-11)	pipi899
dbz2h02	드래곤 볼 Z 2 - Super Battle (Simple Attack)	Unknown
dbza	드래곤 볼 Z (rev A)	Banpresto
dbzs01	드래곤 볼 Z (Simple Attack)(rev B)	Unknown
dbzvrvs	드래곤 볼 Z V.R.V.S.	Sega / Banpresto
ddcrew	D. D. 크루 (세계판, 3인용, FD1094 317-0190)	Sega
ddcrew1	D. D. 크루 (세계판, 4인용, FD1094 317-0187)	Sega
ddcrew1d	D. D. 크루 (세계판, 4 Players) (bootleg of FD1094 317-0187 set)	bootleg
ddcrew2	D. D. 크루 (세계판, 2인용, FD1094 317-0184)	Sega
ddcrew2d	D. D. 크루 (세계판, 2 Players) (bootleg of FD1094 317-0184 set)	bootleg
ddcrewd	D. D. 크루 (세계판, 3인용) (해적판 of FD1094 317-0190 세트)	bootleg
ddcrewj	D. D. 크루 (일본판, 4인용, FD1094 317-0185)	Sega
ddcrewj2	D. D. 크루 (일본판, 2인용, FD1094 317-0182)	Sega
ddcrewj2d	D. D. 크루 (일본판, 2 Players) (bootleg of FD1094 317-0182 set)	bootleg
ddcrewjd	D. D. 크루 (일본판, 4 Players) (bootleg of FD1094 317-0185 set)	bootleg
ddcrewu	D. D. 크루 (US, 4 Players) (FD1094 317-0186)	Sega
ddcrewud	D. D. 크루 (US, 4 Players) (bootleg of FD1094 317-0186 set)	bootleg
ddenlovj	Don Den Lover Vol. 1 - Shiro Kuro Tsukeyo! (일본판)	Dynax
ddenlovr	Don Den Lover Vol. 1 (홍콩판)	Dynax
ddenlovrb	Don Den Lover Vol. 1 - Heukbaeg-euro Jeonghaja (Korea, bootleg)	bootleg
ddenlovrk	Don Den Lover Vol. 1 - Heukbaeg-euro Jeonghaja (한국판)	Dynax
ddonpach	노수령봉 / 도돈파치 (국제판, 마스터 버전 97/02/05)	Cave (Atlus license)
ddonpacha	도돈파치 Arrange v1.1 (2012/02/12 Arrange 버전.)	hack (trap15)
ddonpachj	노수령봉 / 도돈파치 (일본판, 마스터 버전 97/02/05)	Cave (Atlus license)
ddp2	노수령봉 II / 도돈파치 II - 비 스톰 (세계판, 102 버전)	IGS
ddp2100	도돈파치 II - Bee Storm (세계판, ver. 100)	IGS
ddp2100c	도돈파치 - Feng Bao (China, ver. 100)	IGS
ddp2100hk	도돈파치 II - Fung Bou (Hong Kong, ver. 100)	IGS
ddp2100j	도돈파치 II (일본판, ver. 100)	IGS (Cave license)
ddp2100k	도돈파치 II - Bee Storm (Korea, ver. 100)	IGS
ddp2100t	도돈파치 - Feng Bao (Taiwan, ver. 100)	IGS
ddp2101	도돈파치 II - Bee Storm (세계판, ver. 101)	IGS
ddp2101c	도돈파치 - Feng Bao (China, ver. 101)	IGS
ddp2101hk	도돈파치 II - Fung Bou (Hong Kong, ver. 101)	IGS
ddp2101j	도돈파치 II (일본판, ver. 101)	IGS (Cave license)
ddp2101k	도돈파치 II - Bee Storm (Korea, ver. 101)	IGS
ddp2101t	도돈파치 - Feng Bao (Taiwan, ver. 101)	IGS
ddp2c	도돈파치 - Feng Bao (China, ver. 102)	IGS
ddp2hk	도돈파치 II - Fung Bou (Hong Kong, ver. 102)	IGS
ddp2j	노수령봉 II / 도돈파치 II - 비 스톰 (일본판, 102 버전)	IGS (Cave license)
ddp2k	노수령봉 II / 도돈파치 II - 비 스톰 (한국판, 102 버전)	IGS
ddp2t	도돈파치 - Feng Bao (Taiwan, ver. 102)	IGS
ddp3	도돈파치 III (세계판, 2002.05.15 Master Ver)	Cave (AMI license)
ddpdfk	도돈파치 대왕생 버전 1.5 (2008/06/23 MASTER 버전 1.5)	Cave (AMI license)
ddpdfk10	도돈파치 대왕생 버전 1.0 (2008/05/16 MASTER VER)	Cave (AMI license)
ddpdoj	노수령봉 대왕생 V101 / 도돈파치 대왕생 V101 (2002/04/05 마스터 버전)	Cave (AMI license)
ddpdoja	도돈파치 대왕생 V100 (일본판, 2002.04.05.Master Ver)	Cave (AMI license)
ddpdojb	도돈파치 대왕생 (일본판, 2002.04.05 Master Ver)	Cave (AMI license)
ddpdojblk	도돈파치 대왕생 (일본판, 2002.10.07.Black Ver)	Cave (AMI license)
ddpdojblka	노수령봉 대왕생 / 도돈파치 대왕생 (2002.10.07 블랙 버전)	Cave (AMI license)
ddpdojblkbl	도돈파치 대왕생 (일본판, 2002.10.07 Black 버전., 해적판 삼국전기  슈퍼 히어로즈 개조)	bootleg
ddpdojt	도돈파치 대왕생 Tamashii (V201, China)	IGS / Cave (Tong Li Animation license)
ddr2m	댄스 댄스 레볼루션 2nd Mix (GN895 VER. JAA)	Konami
ddr2mc	댄스 댄스 레볼루션 2nd Mix with beatmaniaIIDX CLUB 버전 (GE896 VER. JAA)	Konami
ddr2mc2	댄스 댄스 레볼루션 2nd Mix with beatmaniaIIDX substream CLUB 버전 2 (GE984 VER. JAA)	Konami
ddr2ml	댄스 댄스 레볼루션 2nd Mix - Link Ver (GE885 VER. JAB)	Konami
ddr2mla	댄스 댄스 레볼루션 2nd Mix - Link Ver (GE885 VER. JAA)	Konami
ddr3ma	댄스 댄스 레볼루션 3rd Mix (GN887 버전 AAA)	Konami
ddr3mj	댄스 댄스 레볼루션 3rd Mix (GN887 버전 JAA)	Konami
ddr3mk	댄스 댄스 레볼루션 3rd Mix - 버전.한국판2 (GN887 버전 KBA)	Konami
ddr3mka	댄스 댄스 레볼루션 3rd Mix - 버전.한국판 (GN887 버전 KAA)	Konami
ddr3mp	댄스 댄스 레볼루션 3rd Mix Plus (G*A22 버전 JAA)	Konami
ddr4m	댄스 댄스 레볼루션 4th Mix (G*A33 버전 AAA)	Konami
ddr4mj	댄스 댄스 레볼루션 4th Mix (G*A33 버전 JAA)	Konami
ddr4mp	댄스 댄스 레볼루션 4th Mix Plus (G*A34 버전 JAA)	Konami
ddr4mps	댄스 댄스 레볼루션 4th Mix Plus Solo (G*A34 버전 JBA)	Konami
ddr4ms	댄스 댄스 레볼루션 4th Mix Solo (G*A33 버전 ABA)	Konami
ddr4msj	댄스 댄스 레볼루션 4th Mix Solo (G*A33 버전 JBA)	Konami
ddr5m	댄스 댄스 레볼루션 5th Mix (G*A27 버전 JAA)	Konami
ddra	댄스 댄스 레볼루션 (아시아판 버전 A, AAA)	Konami
ddragon	더블 드래곤 (일본판)	Technos Japan
ddragon2	더블 드래곤 2 - 복수 (세계판)	Technos Japan
ddragon2b	더블 드래곤 2 - 복수 (US, bootleg)	bootleg
ddragon2j	더블 드래곤 2 - The Revenge (일본판)	Technos Japan
ddragon2u	더블 드래곤 2 - 복수 (미국판)	Technos Japan
ddragon3	더블 드래곤 3 - 로제타 스톤 (미국판)	East Technology / Technos Japan
ddragon3b	더블 드래곤 3 - 로제타 스톤 (bootleg)	bootleg
ddragon3j	더블 드래곤 3 - 로제타 스톤 (일본판)	East Technology / Technos Japan
ddragon3p	더블 드래곤 3 - 로제타 스톤 (prototype)	East Technology / Technos Japan
ddragon6809	더블 드래곤 (bootleg with 3xM6809, 세트 1)	bootleg
ddragon6809a	더블 드래곤 (bootleg with 3xM6809, 세트 2)	bootleg
ddragonb	더블 드래곤 (bootleg with HD6309)	bootleg
ddragonb2	더블 드래곤 (bootleg)	bootleg
ddragonba	더블 드래곤 (bootleg with M6803)	bootleg
ddragonu	더블 드래곤 (US 세트 1)	Technos Japan (Taito America license)
ddragonua	더블 드래곤 (US 세트 2)	Technos Japan (Taito America license)
ddragonub	더블 드래곤 (US 세트 3)	Technos Japan (Taito America license)
ddragonw	더블 드래곤 (세계판 세트 1)	Technos Japan (Taito license)
ddragonw1	더블 드래곤 (세계판 세트 2)	Technos Japan (Taito license)
ddrbocd	댄스 댄스 레볼루션 베스트 오브 쿨 댄서즈 (일본판 버전 A, JAA)	Konami
ddream95	덩크 드림 '95 (일본판 1.4 EAM)	Data East Corporation
ddrextrm	댄스 댄스 레볼루션 Extreme (G*C36 버전 JAA)	Konami
ddribble	더블 드리블	Konami
ddribblep	더블 드리블 (prototype?)	Konami
ddrj	댄스 댄스 레볼루션 - 인터넷 랭킹 버전 (일본판 버전 A, JBA)	Konami
ddrja	댄스 댄스 레볼루션 (GC845 버전 JAA)	Konami
ddrjb	댄스 댄스 레볼루션 (GC845 버전 JAB)	Konami
ddrmax	댄스 댄스 레볼루션 Max - 6th Mix (G*B19 버전 JAA)	Konami
ddrmax2	댄스 댄스 레볼루션 Max 2 - 7th Mix (G*B20 버전 JAA)	Konami
ddrs2k	댄스 댄스 레볼루션 Solo 2000 (GC905 버전 AAA)	Konami
ddrs2kj	댄스 댄스 레볼루션 Solo 2000 (GC905 버전 JAA)	Konami
ddrsbm	댄스 댄스 레볼루션 Solo Bass Mix (GQ894 버전 JAA)	Konami
ddru	댄스 댄스 레볼루션 (미국판 버전 A, UAA)	Konami
ddrusa	댄스 댄스 레볼루션 USA (G*A44 버전 UAA)	Konami
ddsom	던전 & 드래곤:미스타라에 드리운 그림자 (유럽판 960619)	Capcom
ddsoma	던전 & 드래곤:미스타라에 드리운 그림자 (아시아판 960619)	Capcom
ddsoma4ppdec	던전 & 드래곤: 미스타라에 드리운 그림자 (미국판 960619 Plus)	unknown
ddsomar1	던전 & 드래곤:미스타라에 드리운 그림자 (아시아판 960208)	Capcom
ddsomb	던전 & 드래곤:미스타라에 드리운 그림자 (Brazil 960223)	Capcom
ddsomh	던전 & 드래곤:미스타라에 드리운 그림자 (히스패닉판 960223)	Capcom
ddsomhp	던전 & 드래곤:미스타라에 드리운 그림자 (HP 개정판 hack by Pipi899, cheat by sssskkkk 2009-06-15)	Pipi899
ddsomj	던전 & 드래곤:미스타라에 드리운 그림자 (일본판 960619)	Capcom
ddsomjfs	던전 & 드래곤:미스타라에 드리운 그림자 (Final Strike hack by e107 2009-07-17)	e107
ddsomjr1	던전 & 드래곤:미스타라에 드리운 그림자 (일본판 960206)	Capcom
ddsomjr2	던전 & 드래곤:미스타라에 드리운 그림자 (일본판 960223)	Capcom
ddsomr1	던전 & 드래곤:미스타라에 드리운 그림자 (Euro 960223)	Capcom
ddsomr2	던전 & 드래곤:미스타라에 드리운 그림자 (Euro 960209)	Capcom
ddsomr3	던전 & 드래곤:미스타라에 드리운 그림자 (Euro 960208)	Capcom
ddsomu	던전 & 드래곤:미스타라에 드리운 그림자 (미국판 960619)	Capcom
ddsomud	던전 & 드래곤:미스타라에 드리운 그림자 (미국판 960619 Phoenix Edition) (bootleg)	bootleg
ddsomur1	던전 & 드래곤:미스타라에 드리운 그림자 (미국판 960209)	Capcom
ddtod	던전 & 드래곤: 운명의 탑 (유럽판 940412)	Capcom
ddtoda	던전 & 드래곤: 운명의 탑 (아시아판 940412)	Capcom
ddtodar1	던전 & 드래곤: 운명의 탑 (아시아판 940113)	Capcom
ddtodd	던전 & 드래곤: 운명의 탑 (Euro 940412 Phoenix Edition) (bootleg)	bootleg
ddtodh	던전 & 드래곤: 운명의 탑 (히스패닉판 940412)	Capcom
ddtodhr1	던전 & 드래곤: 운명의 탑 (히스패닉판 940125)	Capcom
ddtodhr2	던전 & 드래곤: 운명의 탑 (히스패닉판 940113)	Capcom
ddtodj	던전 & 드래곤: 운명의 탑 (일본판 940412)	Capcom
ddtodjr1	던전 & 드래곤: 운명의 탑 (일본판 940125)	Capcom
ddtodjr2	던전 & 드래곤: 운명의 탑 (일본판 940113)	Capcom
ddtodpdec	던전 & 드래곤: 운명의 탑 (EURO 940412 Plus)	unknown
ddtodr1	던전 & 드래곤: 운명의 탑 (Euro 940113)	Capcom
ddtodu	던전 & 드래곤: 운명의 탑 (미국판 940125)	Capcom
ddtodur1	던전 & 드래곤: 운명의 탑 (미국판 940113)	Capcom
ddungeon	데인져러스 던전 (세트 1)	The Game Room
ddungeone	데인져러스 던전 (세트 2)	East Coast Coin Company
ddux	다이너마이트 덕스 (세트 3, 세계판, FD1094 317-0096)	Sega
ddux1	다이너마이트 덕스 (세트 1) (8751 317-0095)	Sega
dduxd	다이너마이트 덕스 (세트 3, World) (bootleg of FD1094 317-0096 set)	bootleg
dduxj	다이너마이트 덕스 (세트 2, 일본판, FD1094 317-0094)	Sega
dduxjd	다이너마이트 덕스 (set 2, 일본판) (bootleg of FD1094 317-0094 set)	bootleg
ddz	두지주	IGS?
deadconx	데드 커넥션 (세계판)	Taito Corporation Japan
deadconxj	데드 커넥션 (일본판)	Taito Corporation
deathbrd	데스 브레이드 (일본판 버전 JM-3)	Data East Corporation
deathbrdh01	데스 브레이드 (Plus Plus)	hack
deathcox	데스 크림슨 OX (개정판 A)	Ecole Software
deathcoxo	데스 크림슨 OX	Ecole Software
deathsm2	데스 스마일즈 II: Makai no Merry Christmas (2009/10/14 MASTER 버전 4.00)	Cave
deathsml	데스 스마일즈 (2007/10/09 마스터 버전)	Cave (AMI license)
deathsmlh01	데스 스마일즈 (Hidden elements full open + character enhancement)	Cave (AMI license)
decathlt	십자군 (JUET 960709 V1.001)	Sega
decathlto	십자군 (JUET 960424 V1.000)	Sega
decocass	데코 카세트 시스템 바이오스	Data East Corporation
deluxe4u	디럭스 4 U (ver. 0107, 07/01/2000)	ESD
deluxe5	디럭스 5 (버전 0107, 07/01/2000, 세트 1)	ESD
deluxe5a	디럭스 5 (ver. 0107, 07/01/2000, 세트 2)	ESD
deluxe5b	디럭스 5 (ver. 0107, 07/01/2000, 세트 3)	ESD
demofist	데몰리시 피스트	Polygon Magic / Dimps
demonwld	데몬스 월드 / 호러 스토리 (세트 1)	Toaplan
demonwld1	데몬스 월드 / 호러 스토리 (세트 2)	Toaplan
demonwld2	데몬스 월드 / 호러 스토리 (세트 3)	Toaplan
demonwld3	데몬스 월드 / 호러 스토리 (세트 4)	Toaplan
demonwld4	데몬스 월드 / 호러 스토리 (세트 5)	Toaplan
denjinmk	전신마괴	Winkysoft (Banpresto license)
denseib	고스트체이서 전정 (슈퍼패미컴 게임기 해적판)	bootleg
denseib2	고스트체이서 전정 (SNES bootleg, 세트 2)	bootleg
derbyo2k	더비 오너스 클럽 2000 버전.2 (일본판, 개정판 A)	Sega
derbyoc	더비 오너스 클럽 (일본판, 개정판 B)	Sega
derbyoc2	더비 오너스 클럽 II 버전.2.1 (일본판, 개정판 B)	Sega
derbyocw	더비 오너스 클럽 World Edition EX (개정판 D)	Sega
deroon	데룬 데로데로	Tecmo
deroon2	데룬 데로데로 / 테크모 스태커즈	Tecmo
deroons01	데룬 데로데로 (unknown hack)	hack
desert	사막의 탱크	Sega / Martin Marietta
desertbr	데저트 브레이커 (세계판, FD1094 317-0196)	Sega
desertbrd	데저트 브레이커 (세계판) (bootleg of FD1094 317-0196 set)	bootleg
desertbrj	데저트 브레이커 (일본판, FD1094 317-0194)	Sega
desertbrjd	데저트 브레이커 (일본판) (bootleg of FD1094 317-0194 set)	bootleg
desertwr	데저트 워 / 걸프전쟁	Jaleco
detatwin	나왔다!! 트윈비 (일본판 버전 J)	Konami
devilw	마수의 왕국 / 데빌 월드	Konami
devstors	약탈자 (버전 Z)	Konami
devstors2	약탈자  (ver. 2)	Konami
devstorsv	약탈자  (ver. V)	Konami
devstorsx	약탈자  (ver. X)	Konami
dfeveron	탄총 피버론 (일본판, 98/09/17)	Cave (Nihon System license)
dfkbl	도돈파치 대왕생 블랙 라벨 (2010/1/18 BLACK LABEL)	Cave (AMI license)
dharma	달마도장	Metro
dharmaj	달마도장 (일본판)	Metro
dharmak	망치맨 달마도장 (한국판)	Metro
diehard	다이너마이트 형사 / 다이하드 아케이드 (UET 960515 버전 1.000)	Sega
dietgo	다이어트 고 고 (유럽판 v1.1 1992.09.26)	Data East Corporation
dietgoe	다이어트 고 고 (Euro v1.1 1992.08.04)	Data East Corporation
dietgoj	다이어트 고 고 (일본판 v1.1 1992.09.26)	Data East Corporation
dietgou	다이어트 고 고 (미국판 v1.1 1992.09.26)	Data East Corporation
digdug	디그 더그 (개정판 2)	Namco
digdug1	디그 더그 (rev 1)	Namco
digdug2	디그 더그 II (신버전)	Namco
digdug2o	디그 더그 II (Old Ver.)	Namco
digdugat	디그 더그 (Atari, rev 2)	Namco (Atari license)
digdugat1	디그 더그 (Atari, rev 1)	Namco (Atari license)
diggerma	디거 맨 (prototype)	Kyle Hodgetts
dimahoo	그레이트 마법대작전/ 디마후 (유럽판 000121)	Eighting / Raizing (Capcom license)
dimahoou	그레이트 마법대작전/ 디마후 (미국판 000121)	Eighting / Raizing (Capcom license)
dimahoud	그레이트 마법대작전/ 디마후 (미국판 000121 Phoenix Edition) (bootleg)	bootleg
dino	캐딜락 공룡신세기 / 캐딜락 & 다이노소어 (세계판 930201)	Capcom
dinoa	캐딜락 & 다이노소어 (아시아판 TW 930223)	Capcom
dinodino	디노 디노	Astro Corp.
dinohunt	디노사우르스 헌터 (Chinese bootleg of 캐딜락 & 다이노소어)	bootleg
dinoj	캐딜락: 공룡 신세기 (일본판 930201)	Capcom
dinopic	캐딜락 & 다이노소어 (해적판 PIC16c57, 세트 1)	bootleg
dinopic2	캐딜락 & 다이노소어 (해적판 with PIC16c57, 세트 2)	bootleg
dinorex	디노 렉스 (세계판)	Taito Corporation Japan
dinorexj	디노 렉스 (일본판)	Taito Corporation
dinorexu	디노 렉스 (미국판)	Taito America Corporation
dinos01	캐딜락 & 다이노소어 (무기 아이템 Bazooka)(세계판 930201)	Ydmis
dinos02	캐딜락 & 다이노소어 (무기 아이템 Club)(세계판 930201)	Ydmis
dinos03	캐딜락 & 다이노소어 (무기 아이템 Dynamite or Grenade)(세계판 930201)	Ydmis
dinos04	캐딜락 & 다이노소어 (무기 아이템 Dynamite)(세계판 930201)	Ydmis
dinos05	캐딜락 & 다이노소어 (무기 아이템 Grenade)(세계판 930201)	Ydmis
dinos06	캐딜락 & 다이노소어 (무기 아이템 Pistol)(세계판 930201)	Ydmis
dinos07	캐딜락 & 다이노소어 (무기 아이템 Rifle/M-16A1)(세계판 930201)	Ydmis
dinos08	캐딜락 & 다이노소어 (무기 아이템 Rod)(세계판 930201)	Ydmis
dinos09	캐딜락 & 다이노소어 (무기 아이템 Shot Gun)(세계판 930201)	Ydmis
dinos10	캐딜락 & 다이노소어 (무기 아이템 Uzi)(세계판 930201)	Ydmis
dinos13	캐딜락 & 다이노소어 (적이 죽을때 바베큐 나옴)(세계판 930201)	Ydmis
dinos138	캐딜락 & 다이노소어 (시작버튼을 누르면 무기가 나옴)	DDJ
dinos140	캐딜락 & 다이노소어 (스테이지 선택)(세계판 930201)	DDJ
dinos20	캐딜락 & 다이노소어 (무기 무제한)	Fenghua [Phoenix]
dinos22	캐딜락 & 다이노소어 (시작버튼으로 캐릭터 변경)	Unknown
dinou	캐딜락 & 다이노소어 (미국판 930201)	Capcom
dirtdash	더트 대쉬 (개정판 DT2)	Namco
dirtdvls	더트 데빌스 (수출판, 개정판 A)	Sega
dirtdvlsa	더트 데빌스 (Australia, 개정판 A)	Sega
dirtdvlsg	더트 데빌스 (Germany?)	Sega
dirtdvlsj	더트 데빌스 (일본판, 개정판 A)	Sega
dirtfoxj	더트 폭스 (일본판)	Namco
dirtypig	더티 피그스킨 풋볼	Sammy
djboy	DJ 보이 (세트 1)	Kaneko
djboyj	DJ 보이 (일본판, 세트 1)	Kaneko (Sega license)
djboyja	DJ 보이 (일본판, 세트 2)	Kaneko (Sega license)
djboyu	DJ 보이 (US, 세트 1)	Kaneko (American Sammy license)
djboyua	DJ 보이 (US, 세트 2)	Kaneko (American Sammy license)
dkbanana	동키콩 - 바나나 왕국 (host)	Capcom
dkbanans	동키콩 - 바나나 왕국 (satellite)	Capcom
dkchrmx	동키콩 Christmas Remix	Sock Master
dkgensan	목수 겐씨 (일본판, M82)	Irem
dkgensanm72	목수 겐씨 (일본판, M72)	Irem
dkgensanm82	목수 겐씨 (일본판, M82)	Irem
dking	동키콩	bootleg
dkmb	동키콩 / 동키콩 Jr / Mario Bros	Namco / Nintendo / Cosmodog
dkong	동키콩 (미국판 세트 1)	Nintendo of America
dkong2m	동키콩 (2 marios)	Hack
dkong3	동키콩 3 (미국판)	Nintendo of America
dkong3b	동키콩 3 (bootleg on 동키콩 Jr. hardware)	bootleg
dkong3hs	동키콩 High Score Kit (hack,V1.0a)	hack (Braze Technologies)
dkong3j	동키콩 3 (일본판)	Nintendo
dkongddk	더블 동키콩 (hack,V1.2)	hack (Braze Technologies)
dkongex	동키콩 Foundry	Jeff Kulczycki
